check_slug,action_text,source_url,source_title,source_date
pp-e-health,"Разширяване на електронни рецепти и медицински направления; внедряване на електронни здравни системи в МЗ и НЗОК; интеграция на информационни системи между болници и регистри, но процесът остава частичен и не напълно унифициран",https://www.mh.government.bg,,
pp-healthcare-access,Увеличение на бюджетни трансфери към държавни и общински болници; финансиране на спешна помощ и отделения в по-слабо населени райони; проблемите с кадри и регионални неравенства остават структурни,https://www.minfin.bg,,
pp-medical-staff,Бюджетни увеличения,https://www.minfin.bg,,
pp-revenue-growth,Засилен контрол на НАП,https://nra.bg,,
pp-social-spending,"Увеличени социални плащания; увеличение на пенсии (няколко индексации), т.нар. „COVID и инфлационни добавки“ към уязвими групи, компенсации за ток и енергия за домакинства и бизнеса, увеличени семейни помощи в някои периоди; краткосрочно повишение на доходите, но без структурна реформа на социалната система",https://www.minfin.bg,,
pp-economic-growth,"ПВУ и капиталови програми; част от проектите се забавят (административен капацитет), изпълнението е по-бавно от планираното, но рамката е мащабна и дългосрочна",https://next-generation-eu.europa.eu,,
pp-flat-tax,Няма промени в основните данъчни ставки; запазване на 10% корпоративен и личен данък; отказ от прогресивно облагане въпреки политически дебат,https://www.minfin.bg,,
pp-tax-collection,"Данъчни проверки и контрол - повече електронен обмен на данни, автоматизирани проверки (risk-based audits), борба със сивата икономика чрез дигитализация",https://nra.bg,,
pp-tax-relief,Данъчни облекчения за деца,,,
pp-chief-prosecutor,Закон за разследване на главния прокурор; реформата е частично блокирана от последващи решения на КС,https://www.parliament.bg,,
pp-supreme-judicial-council,Приети частични конституционни промени (2023) за структуриране на ВСС;,https://www.parliament.bg,,
pp-independent-court,Законодателни инициативи,,,
pp-anti-corruption-commission,Законодателни промени в КПКОНПИ (разделяне на разследваща и административна функция),https://www.parliament.bg/,,
pp-public-procurement,"Усилия за по-голяма прозрачност, но институционалният ефект е ограничен",https://www.parliament.bg/,,
pp-captured-state,Разследвания и проверки,,,
pp-teacher-pay,"Провеждани ежегодни бюджетни увеличения на учителските заплати; индексации обвързани с минималната работна заплата; увеличенията са реални, но без дълбока структурна реформа в системата",https://www.mon.bg,,
pp-stem-education,"Изпълнение чрез Плана за възстановяване: изграждане на STEM кабинети, дигитални класни стаи и оборудване; реализацията е проектно базирана и неравномерна между училищата",https://nextgeneration.bg,,
pp-digitalization,Национални програми,,,
pp-higher-pensions,Извънредни и редовни индексации на пенсии,https://www.mlsp.government.bg,,
pp-social-benefits,Допълнителни плащания при инфлация; системата остава силно зависима от бюджетни субсидии,https://www.mlsp.government.bg,,
pp-family-policy,Увеличени помощи,,,
pp-gas-diversification,"Завършване и разширяване на интерконектора с Гърция; диверсификация на газови доставки (LNG терминали, алтернативни договори); ускоряване на свързаността със съседни пазари",https://www.me.government.bg,,
pp-nuclear-energy,Подкрепа за нови реактори,,,
pp-green-transition,Проекти по ПВУ,,,
pp-eurozone,Подготовка на законодателни промени и фискални мерки за покриване на критериите; координация с ЕК и ЕЦБ; процесът зависи от макроикономическата стабилност,https://www.minfin.bg,,
pp-schengen,Дипломатически усилия,,,
pp-nato,Подкрепа за съюзнически политики,,,
pp-ukraine-aid,Гласувания в НС за военна и хуманитарна помощ,https://www.parliament.bg,,
pp-russia-sanctions,Подкрепа за санкционни режими,,,
db-e-health,Законодателна подкрепа,https://www.mh.government.bg,,
db-healthcare-spending-control,Предложения за прозрачност; ефектът е частичен и зависим от изпълнителната власт,https://www.mh.government.bg,,
db-healthcare-competition,Политически инициативи,,,
db-fiscal-discipline,Подкрепа на бюджети с критики към разходната политика; настояване за ограничаване на дефицита; реално влияние ограничено от коалиционни решения,https://www.minfin.bg,,
db-budget-transparency,Парламентарен контрол,,,
db-budget-efficiency,Законодателни предложения,,,
db-flat-tax,Последователни гласувания,https://www.parliament.bg,,
db-tax-predictability,Публични позиции,,,
db-low-tax-burden,Последователна политика,https://www.parliament.bg,,
db-prosecution-and-sjc,"Основен двигател на конституционните промени 2023; законодателни инициативи за разделяне на ВСС; част от реформите са приети, но значително орязани след институционални и политически сблъсъци",https://www.parliament.bg,,
db-judicial-independence,Законопроекти,,,
db-anti-corruption-transparency,Законодателни предложения за реформа на КПКОНПИ; натиск за повече прозрачност в обществени поръчки; ограничен практически ефект върху разследвания и присъди,https://www.parliament.bg,,
db-conflict-of-interest,Предложения в НС,,,
db-school-autonomy,Политически предложения,https://www.mon.bg,,
db-education-quality,Ограничени практически резултати,https://www.mon.bg,,
db-digitalization,Подкрепа на проекти,https://www.mon.bg,,
db-sustainable-pensions,Подкрепа на пенсионни реформи,,,
db-social-support,Подкрепа на социални мерки,,,
db-income-growth,Подкрепа в коалиции,,,
db-green-transition,Подкрепа за ЕС политики за декарбонизация,https://energy.ec.europa.eu,,
db-nuclear-energy,Подкрепа за Козлодуй,https://energy.ec.europa.eu,,
db-energy-diversification,Последователна подкрепа,https://energy.ec.europa.eu,,
db-eurozone,Последователна подкрепа,https://www.minfin.bg,,
db-schengen,Последователна подкрепа,https://www.minfin.bg,,
db-nato,Последователни гласувания,,,
db-military-aid,Всички ключови гласувания,https://www.parliament.bg,,
db-sanctions,Последователна позиция,https://www.parliament.bg,,
db-limit-russian-influence,Последователни инициативи,,,
pp-db-constitutional-changes,Частично приети конституционни промени,https://www.parliament.bg,,
pp-db-anti-corruption-commission-reform,Законодателни промени,https://www.parliament.bg,,
pp-db-eurozone,Законодателна програма,https://www.minfin.bg,,
pp-db-schengen,Дипломатически усилия,https://consilium.europa.eu/,,
pp-db-support-for-ukraine,Парламентарни решения,,,
pp-db-energy-diversification,Продължаване на интерконекторните проекти,,,
pp-db-education-modernization,Финансиране по ПВУ,,,
pp-db-pensions,Бюджетни решения,,,
pp-db-financial-stability,Бюджетни мерки,,,
pp-db-healthcare-digitalization,Продължаване на електронните услуги,,,
